epoch,loss,acc_0,acc_1,acc_2
0,42.8085942727235,0.03,0.11,0.19
1,11.24841109103667,0.04,0.13,0.21
2,7.611685053199992,0.04,0.13,0.22
3,6.578992149383599,0.04,0.13,0.22
4,6.14117959079439,0.04,0.13,0.22
5,5.832734617072618,0.04,0.13,0.22
6,5.560469266478656,0.04,0.14,0.22
7,5.358625023986684,0.04,0.13,0.22
8,5.2041124957948295,0.04,0.13,0.22
9,5.025005958799383,0.04,0.14,0.22
10,4.816662831542539,0.04,0.13,0.22
11,4.755047697071713,0.04,0.13,0.22
12,4.540445454677627,0.04,0.14,0.22
13,4.460865273235297,0.04,0.14,0.22
14,4.383654402344089,0.04,0.13,0.22
15,4.216666674347286,0.04,0.13,0.22
16,4.1820539115088655,0.04,0.14,0.22
17,4.105988172577154,0.04,0.14,0.22
18,3.9817379654335716,0.04,0.14,0.22
19,3.921821944296584,0.04,0.14,0.22
20,3.8471462827188105,0.04,0.14,0.22
21,3.8065905517125533,0.04,0.13,0.22
22,3.7390851343121465,0.04,0.13,0.22
23,3.6901219379578527,0.04,0.13,0.22
24,3.642328340143749,0.04,0.13,0.22
25,3.6185736170781366,0.04,0.13,0.22
26,3.59831946850096,0.04,0.13,0.22
27,3.4828648135143023,0.04,0.13,0.22
28,3.4450183246107997,0.04,0.13,0.22
29,3.3849919881074992,0.04,0.13,0.22
30,3.3848849449004015,0.04,0.13,0.22
31,3.3295422943948494,0.04,0.13,0.22
32,3.3294774245920458,0.04,0.13,0.22
33,3.2451162072184667,0.04,0.13,0.22
34,3.2272156374883334,0.04,0.13,0.22
35,3.2382544796964607,0.04,0.13,0.22
36,3.174040757578974,0.04,0.13,0.22
37,3.166198867559083,0.04,0.13,0.22
38,3.1249881783555433,0.04,0.13,0.22
39,3.076862204653688,0.04,0.13,0.22
40,3.105380643302633,0.04,0.13,0.22
41,3.040356642467321,0.04,0.13,0.22
